shinchou,taiju,father,mother,tsugaku,arbeit,tv,jugyou,ketsueki,yakyu,shimai,tabako,jitaku,menkyo,car,koibito,seibetsu
172,70,165,163,30,0,60,3,a,1,0,0,0,0,0,0,1
176,69,150,155,50,4,60,3,a,2,0,0,0,0,0,0,1
170,70,170,158,60,30,60,5,a,10,1,1,0,1,0,1,1
174,70,165,154,50,2,120,3,a,1,0,1,1,1,1,1,1
170,62,163,158,40,15,60,4,o,1,1,1,0,1,0,1,1
167,50,165,158,45,0,120,4,ab,1,0,0,0,1,0,0,1
175,75,171,158,100,30,2,3,a,1,0,1,1,0,0,0,1
179,80,156,150,55,6,90,3,ab,3,0,0,0,1,0,0,1
162,60,160,160,60,2,120,5,b,13,1,0,0,0,0,0,1
169,80,165,162,45,0,60,4,o,6,1,0,0,1,1,0,1
184,66,178,163,75,0,60,3,b,13,1,0,1,1,1,1,1
170,55,172,162,60,5,90,3,o,1,0,0,0,1,0,1,1
167,52,163,157,40,8,60,3,b,7,1,1,1,1,0,1,1
165,56,163,152,40,15,30,5,a,13,1,1,0,1,1,1,1
165,64,160,160,10,2,120,2,a,7,1,1,0,0,0,0,1
175,82,176,160,110,0,60,1,b,2,1,0,1,1,1,0,1
180,70,175,150,50,0,0,2,a,1,0,0,1,1,1,1,1
175,75,170,160,10,15,120,4,o,4,0,1,0,1,0,1,1
163,52,170,152,70,0,180,3,o,3,1,1,0,1,0,0,1
175,75,172,162,70,4,120,3,ab,13,1,0,1,1,1,0,1
167,53,172,155,30,7,30,4,o,1,0,0,0,1,0,1,1
172,62,173,158,90,6,30,2,a,4,0,0,1,1,1,0,1
173,69,178,148,50,9,75,1,o,12,0,0,1,1,1,1,1
173,62,175,150,80,20,30,2,ab,13,1,0,1,0,0,1,1
165,65,160,159,90,4,120,3,a,4,1,0,1,1,1,1,1
170,70,170,156,10,0,150,5,o,1,0,1,1,1,1,1,1
177,70,167,160,90,0,90,3,a,2,0,0,1,1,1,1,1
181,78,170,168,50,3,90,4,o,5,0,0,1,1,1,0,1
170,56,165,159,50,4,120,3,ab,4,1,0,1,0,0,0,1
175,55,175,160,30,2,60,1,a,1,1,0,0,1,0,0,1
166,53,165,151,45,9,120,5,o,1,1,0,1,1,0,0,1
178,72,172,152,90,2,420,2,ab,5,1,1,1,0,0,0,1
170,60,166,158,45,8,120,4,ab,9,1,1,0,0,0,1,1
177,70,160,155,30,0,120,1,a,13,1,1,1,1,1,0,1
169,68,168,154,90,6,60,2,o,5,1,1,1,1,1,1,1
185,72,172,160,75,25,30,3,a,5,1,1,1,1,1,1,1
158,55,160,150,60,18,60,3,ab,7,1,1,0,1,0,1,1
173,60,168,158,100,0,60,3,b,13,0,0,1,1,1,0,1
177,78,160,155,60,8,240,3,b,1,1,1,0,1,0,1,1
170,60,160,150,60,2,60,3,a,5,1,1,0,1,0,1,1
172,64,168,150,15,15,180,4,o,4,0,1,0,1,0,1,1
180,67,175,160,50,2,30,2,o,7,0,1,1,1,1,1,1
181,80,167,158,60,6,120,3,a,13,0,1,0,1,1,0,1
177,73,165,156,1,18,6,3,o,1,0,1,1,0,0,0,1
173,64,164,154,5,3,3,3,a,6,0,0,0,1,1,0,1
171,57,160,155,10,15,0,3,ab,4,0,0,0,1,0,0,1
168,55,160,155,7,7,60,3,b,5,0,0,0,1,0,1,1
178,72,172,158,85,5,60,3,o,4,0,0,1,1,1,1,1
170,56,165,163,90,5,60,5,a,10,1,1,0,1,0,0,1
171,73,180,155,80,0,120,3,a,1,1,0,1,1,0,0,1
175,63,165,155,90,6,60,3,a,1,1,1,1,1,1,0,1
163,52,172,160,30,6,30,4,ab,8,1,1,0,1,0,0,1
170,77,170,160,90,2,60,3,ab,13,1,0,1,1,1,1,1
168,65,164,158,15,0,30,3,a,5,1,0,0,1,0,1,1
174,64,162,158,45,0,90,1,a,9,1,0,0,0,0,0,1
170,61,168,156,90,4,120,5,o,1,1,1,1,1,1,1,1
165,65,160,155,60,4,1,3,b,1,0,1,0,1,1,1,1
173,68,167,156,50,5,90,3,b,1,0,1,0,1,0,1,1
177,58,165,155,40,8,60,5,a,4,0,1,0,1,0,0,1
184,65,175,165,100,6,100,2,a,4,0,1,1,1,1,0,1
170,64,165,150,90,0,90,4,o,7,1,0,1,0,0,0,1
178,65,174,164,60,6,7,4,a,13,1,0,1,1,1,1,1
175,63,170,155,1,5,2,3,o,4,0,0,0,0,0,0,1
177,60,172,155,90,4,30,1,o,4,1,1,1,1,1,0,1
173,62,172,163,70,4,30,4,a,1,0,1,1,1,0,0,1
171,73,170,153,50,6,120,4,a,8,0,1,1,1,0,1,1
169,61,166,153,75,1,90,4,o,4,1,0,1,1,1,0,1
180,63,182,165,20,6,60,3,a,6,1,1,0,1,0,0,1
177,66,165,163,90,4,60,4,a,13,1,0,1,1,1,1,1
178,66,175,163,10,3,7,1,a,2,1,1,0,1,0,0,1
170,52,160,163,20,8,60,4,o,13,1,0,1,1,1,0,1
169,60,160,150,55,8,20,4,a,1,0,1,1,1,1,0,1
173,67,169,162,48,2,115,3,o,1,1,0,1,1,1,0,1
160,60,175,155,40,6,60,4,a,1,0,1,0,1,0,1,1
172,65,170,160,12,7,80,5,o,5,0,1,0,1,0,0,1
190,75,180,175,60,10,120,3,o,13,0,1,1,1,1,1,1
171,58,167,160,40,5,120,2,a,11,0,0,0,1,0,0,1
168,62,164,150,50,0,210,5,o,1,1,1,0,1,1,0,1
164,52,163,152,40,4,120,3,o,7,1,1,0,0,0,1,1
175,61,165,158,45,0,30,4,b,4,1,0,0,0,0,0,1
169,69,165,153,70,5,1,3,b,6,1,0,1,1,1,0,1
187,90,175,165,70,6,30,4,o,1,1,0,1,1,1,0,1
174,65,173,155,50,9,50,4,b,1,1,1,1,1,1,0,1
168,62,168,153,85,4,120,5,b,4,0,1,1,1,1,0,1
172,62,170,163,50,6,60,4,b,3,0,0,1,1,1,0,1
175,58,165,155,30,11,60,4,b,13,1,0,0,1,0,1,1
168,68,173,155,110,5,150,3,o,6,1,0,1,0,0,0,1
168,62,158,154,90,7,60,3,b,13,1,0,1,1,1,0,1
161,55,156,156,40,3,30,2,a,6,0,0,0,1,0,0,1
173,60,168,160,50,5,15,5,o,8,1,0,0,0,0,1,1
167,63,160,150,100,2,180,3,ab,2,1,0,1,1,1,0,1
170,55,169,163,50,5,180,2,a,1,1,0,0,1,0,0,1
172,65,163,157,20,3,120,4,a,11,1,0,0,1,0,0,1
171,62,171,158,0,4,15,4,a,6,0,0,0,1,0,0,1
170,57,170,155,3,6,0,2,a,13,0,0,0,0,0,0,1
180,65,172,160,80,4,120,5,o,2,1,1,1,1,1,0,1
162,60,160,150,70,20,60,4,o,4,1,0,1,1,1,0,1
184,75,182,156,40,0,60,4,a,4,1,0,0,1,0,0,1
168,63,168,153,100,4,60,5,a,1,1,0,1,1,1,1,1
179,60,172,162,45,30,30,3,b,2,1,0,0,1,0,1,1
167,53,175,160,100,4,1,3,ab,8,0,0,1,1,1,0,1
172,56,166,158,90,8,60,4,b,2,1,1,1,1,1,0,1
164,52,175,158,35,4,60,3,o,1,1,0,0,1,1,0,1
179,67,177,153,20,0,120,3,ab,8,0,0,0,0,0,1,1
175,63,174,160,3,6,60,3,o,1,0,0,0,0,0,0,1
174,63,168,153,65,6,90,4,a,4,0,0,1,1,1,1,1
175,63,167,159,25,0,10,3,a,2,0,1,0,1,0,1,1
174,65,169,153,90,690,150,4,b,1,0,0,1,1,0,0,1
180,70,163,155,60,8,120,4,ab,1,1,1,1,1,1,1,1
162,50,170,160,5,4,0,3,o,13,1,0,0,0,0,0,1
175,60,165,160,30,6,180,5,a,13,1,1,0,0,0,0,1
165,55,165,156,35,18,0,5,b,4,1,0,0,1,0,0,1
160,52,170,153,50,0,60,5,b,6,1,0,0,1,0,0,1
166,60,165,145,90,4,60,3,a,2,1,0,1,1,1,0,1
178,75,159,157,20,5,120,4,a,11,0,0,0,1,0,0,1
178,60,166,164,20,4,2,5,a,5,1,0,0,0,0,0,1
168,55,165,155,15,4,0,1,a,13,0,0,0,1,0,1,1
182,68,174,154,60,7,60,4,a,13,1,0,1,1,1,0,1
172,67,165,155,65,4,90,4,a,1,1,0,1,1,1,0,1
170,52,163,150,50,0,0,4,o,2,1,0,1,0,0,0,1
160,53,160,157,45,0,120,3,o,10,0,0,0,0,0,0,1
180,58,171,156,80,7,60,4,o,7,1,0,1,1,0,0,1
173,53,171,160,30,20,60,3,o,4,1,0,0,1,0,1,1
174,61,173,158,90,20,30,3,o,8,1,0,1,1,1,1,1
173,63,162,155,20,0,30,4,a,13,0,0,0,1,0,0,1
180,68,168,155,90,6,100,2,o,11,1,0,1,1,0,0,1
172,68,170,152,60,10,45,5,o,1,1,0,1,1,1,0,1
166,58,164,160,30,0,300,4,o,7,1,1,0,0,0,0,1
170,52,165,150,35,0,60,3,b,3,1,1,0,1,0,0,1
166,60,162,155,15,4,60,4,a,6,1,0,1,1,1,1,1
165,57,163,147,40,8,150,5,a,6,1,1,0,0,0,0,1
176,58,168,154,50,6,60,5,a,2,0,0,1,0,0,0,1
168,61,169,153,45,0,90,4,b,3,1,0,1,1,1,0,1
173,59,165,148,60,16,90,1,o,4,0,0,1,1,1,0,1
174,64,172,156,25,8,60,4,a,3,1,1,0,1,0,1,1
168,59,167,159,20,5,120,2,b,3,1,0,0,1,0,0,1
179,63,166,152,50,21,15,3,b,7,0,1,1,1,1,1,1
171,61,167,157,85,15,30,2,a,2,1,1,1,1,0,0,1
170,63,170,155,55,5,100,4,o,7,1,1,0,1,0,0,1
170,65,169,158,25,8,100,5,a,1,0,1,0,0,0,0,1
175,60,174,162,60,6,60,4,a,4,1,0,1,1,1,0,1
170,63,165,155,30,6,120,3,ab,6,1,0,1,0,1,0,1
165,70,189,176,190,30,0,1,ab,9,1,1,1,1,1,1,1
168,53,158,148,90,6,60,4,a,1,1,0,1,1,1,0,1
167,55,163,157,45,10,120,4,o,5,1,1,0,1,0,0,1
169,56,173,158,55,0,60,5,b,4,1,0,0,1,0,0,1
164,60,165,153,1,0,3,4,b,2,0,0,0,1,0,1,1
173,65,169,156,65,140,60,4,o,13,1,0,1,1,1,1,1
165,50,167,143,30,12,30,4,a,1,1,0,1,1,0,0,1
169,54,166,158,40,0,90,3,a,13,1,1,0,0,0,0,1
170,59,168,152,90,8,60,4,b,5,1,1,1,1,1,1,1
185,70,170,159,30,15,100,5,ab,1,1,1,1,0,1,1,1
181,52,178,168,90,0,30,2,o,13,1,1,1,0,1,0,1
169,61,163,155,35,6,0,3,a,3,0,0,0,1,0,1,1
169,66,170,154,30,0,240,4,a,1,1,0,0,1,0,0,1
170,70,172,156,40,0,120,3,ab,6,1,1,0,0,0,0,1
181,66,178,155,60,4,60,3,b,6,1,1,0,1,0,1,1
166,60,175,157,30,0,60,3,a,1,1,1,0,1,0,1,1
160,50,170,155,30,6,60,3,a,5,1,0,1,1,0,0,1
173,58,168,155,15,4,360,4,o,1,1,1,0,1,0,1,1
176,66,175,170,40,0,60,4,b,6,0,1,0,0,0,0,1
179,64,165,155,30,2,30,5,o,1,1,0,0,0,0,0,1
175,75,180,160,40,15,0,5,ab,7,0,0,1,1,1,1,1
173,53,171,156,30,7,0,2,a,5,1,0,0,0,0,0,1
180,75,168,162,20,7,60,4,o,13,1,0,0,0,0,1,1
169,65,166,152,15,16,0,4,a,3,0,1,1,1,1,1,1
176,62,183,158,55,6,45,5,o,3,0,0,1,0,0,0,1
168,61,175,153,25,10,73,2,b,6,1,0,0,0,1,0,1
154,42,165,154,20,0,100,4,o,10,1,0,0,0,0,0,1
170,60,160,150,60,4,90,4,o,4,0,0,1,0,0,0,1
174,70,175,160,90,2,0,4,a,13,1,0,1,1,1,0,1
178,67,165,158,30,0,60,3,a,1,1,1,0,1,0,1,1
180,65,165,160,25,6,120,2,o,13,1,0,0,1,0,0,1
175,65,167,160,60,6,0,3,o,4,1,1,1,1,1,1,1
168,69,163,150,90,0,60,4,a,3,1,0,1,0,0,0,1
165,54,186,155,30,6,60,5,b,7,1,0,1,1,1,0,1
185,81,172,164,30,16,5,1,b,4,0,0,0,0,0,1,1
175,85,169,153,60,6,120,3,a,1,1,1,1,1,1,0,1
175,65,165,163,45,8,120,3,o,13,0,1,1,1,1,1,1
166,54,170,155,40,0,120,3,a,5,1,0,1,1,1,0,1
177,66,172,156,50,12,200,4,b,1,0,1,0,1,0,1,1
173,55,175,153,15,8,120,3,o,8,1,0,0,1,0,1,1
169,62,173,158,50,20,1,5,o,4,1,1,1,1,0,0,1
173,65,162,154,60,4,120,4,o,5,1,1,0,1,0,0,1
180,65,162,159,10,3,100,3,o,5,0,0,0,1,0,1,1
180,68,169,168,40,0,123,5,a,9,0,1,0,1,0,0,1
168,60,170,155,100,2,30,3,o,1,0,0,1,1,1,0,1
179,63,165,162,35,6,60,3,o,4,0,0,0,1,0,1,1
176,67,178,160,70,0,30,5,o,13,0,1,1,1,1,1,1
175,75,164,154,40,8,90,3,a,7,0,0,1,0,0,0,1
184,75,170,160,45,0,90,2,a,3,1,0,0,1,0,0,1
165,50,164,150,110,0,0,1,a,13,1,0,1,0,0,0,1
165,50,165,155,20,0,5,5,o,5,0,1,0,1,0,0,1
170,72,163,151,60,100,100,1,o,1,1,0,0,1,0,1,1
179,65,179,162,50,10,100,5,ab,6,1,0,1,1,1,0,1
173,68,160,158,50,12,30,3,a,13,0,1,0,0,0,1,1
170,52,165,159,70,10,90,4,o,1,1,0,1,1,1,1,1
176,60,181,164,20,18,60,3,a,6,1,1,1,0,0,1,1
179,76,177,159,70,6,2,1,b,8,0,0,1,1,1,1,1
176,66,174,158,70,6,100,5,b,4,0,0,1,0,0,1,1
160,55,155,148,100,25,2,3,b,1,0,1,1,1,1,0,1
166,56,171,151,45,0,120,4,a,6,0,0,1,1,0,0,1
171,62,168,158,100,4,30,3,o,4,0,0,1,1,0,0,1
179,65,155,159,35,18,0,3,a,3,1,0,0,1,0,1,1
